OpenML ID,Dataset,Problem,Best Pipeline,Validation Metric,Best Test-set Score,Baseline,Features,Instances,Numeric Features,Discrete Features,Actual Time,Equivalent Time,LLM Inference Time,ML Training Time,Workers,Pipeline Budget,Actual Pipelines,Input Tokens,Output Tokens,Total Tokens,Putative Cost ($),Actual Time (h),Equivalent Time (h),LLM Inference Time (h),ML Training Time (h),Parallel Speedup,Worker Utilization,Budget Utilization,InstanceFeature Product,Cost per Pipeline ($)
40983,wilt,classification,Pipeline 17,balanced_accuracy,0.9662411823983876,0.975,5,4839,5,0,0:03:46,0:28:28,0:19:27,0:09:01,8,30,30,413432,119853,533285,0.6562708199999999,0.06277777777777778,0.47444444444444445,0.32416666666666666,0.1502777777777778,7.557522123893805,0.9446902654867256,1.0,24195,0.021875693999999998
40499,texture,classification,Pipeline 0,balanced_accuracy,0.9954545454545456,0.997,40,5500,40,0,0:04:32,0:31:34,0:22:31,0:09:03,8,30,30,1645606,135529,1781135,1.0748276100000007,0.07555555555555556,0.5261111111111111,0.37527777777777777,0.15083333333333335,6.963235294117647,0.8704044117647058,1.0,220000,0.03582758700000002
1485,madelon,classification,Pipeline 8,balanced_accuracy,0.8634615384615385,0.875,500,2600,500,0,0:10:54,1:05:29,0:42:32,0:22:57,8,30,18,7368780,80067,7448847,1.8553039999999996,0.18166666666666667,1.091388888888889,0.7088888888888889,0.3825,6.007645259938839,0.7509556574923548,0.6,1300000,0.10307244444444442
1478,har,classification,Pipeline 15,balanced_accuracy,0.9811429806487671,0.959,561,10299,561,0,0:29:52,3:08:40,1:48:47,1:19:53,8,30,12,8305395,66378,8371773,2.8644566999999994,0.49777777777777776,3.1444444444444444,1.8130555555555556,1.331388888888889,6.316964285714286,0.7896205357142857,0.4,5777739,0.23870472499999995
1590,adult,classification,Pipeline 3,balanced_accuracy,0.8129252481829121,0.805,14,48842,6,8,0:44:08,5:33:47,3:29:51,2:03:56,8,30,30,3533767,864794,4398561,3.9331918900000025,0.7355555555555555,5.563055555555556,3.4975,2.0655555555555556,7.5630664652567985,0.9453833081570998,1.0,683788,0.1311063963333334
554,mnist_784,classification,Pipeline 5,balanced_accuracy,0.9664450768343156,0.1,784,70000,784,0,2:00:12,2:13:12,0:47:45,1:25:27,8,30,11,5932213,47113,5979326,1.6099417399999996,2.0033333333333334,2.22,0.7958333333333333,1.4241666666666666,1.1081530782029951,0.1385191347753744,0.36666666666666664,54880000,0.14635833999999995
43939,california_housing,regression,Pipeline 19,rmse,69331.03182193861,1.0,9,20640,9,0,0:11:29,1:22:08,1:04:06,0:18:02,8,30,30,1620167,492151,2112318,2.2583271299999987,0.1913888888888889,1.3688888888888888,1.0683333333333334,0.3005555555555556,7.152394775036284,0.8940493468795355,1.0,185760,0.07527757099999996
42165,ames_housing,regression,Pipeline 19,rmse,31970.629598659227,1.0,80,1460,37,43,0:12:22,1:11:13,1:07:47,0:03:26,8,30,30,4504694,640509,5145203,3.43088453,0.2061111111111111,1.1869444444444444,1.1297222222222223,0.05722222222222222,5.758760107816712,0.719845013477089,1.0,116800,0.11436281766666667
196,auto_mpg,regression,Pipeline 28,rmse,2.2832434607562577,1.0,7,398,7,0,0:05:58,0:33:04,0:30:29,0:02:36,8,30,30,1662359,244199,1906558,1.693538910000001,0.09944444444444445,0.5511111111111111,0.5080555555555556,0.043333333333333335,5.541899441340782,0.6927374301675977,1.0,2786,0.05645129700000003
